#1
double motor_load_speed(8001,3)
0,9.314622e-05,-0.00055810873
0.001,9.615987e-05,-0.0005580792
0.001,0.00047374849,0.00038421297
0.002,0.00044673064,0.00038394073
0.002,0.0007952714,-0.00022888593
0.003,0.00074425014,-0.00023011242
0.003,-9.2288974e-05,-0.00047919614
0.004,-5.2695632e-05,-0.00048050395
0.004,0.00013205546,0.0005525069
0.005,0.00015596583,0.00055202114
0.005,0.00031758586,-0.0004115046
0.006,0.00032977058,-0.00041153198
0.006,-0.0005488258,-0.00019360454
0.007,-0.00044871753,-0.00019223371
0.007,2.808437e-05,-0.00026752078
0.008,7.858489e-05,-0.0002643549
0.008,-0.0003079588,-0.00055190217
0.009,-0.00021998529,-0.0005471351
0.009,-0.00052606064,0.00045934547
0.01,-0.00041217334,0.0004664352
0.01,-0.00036457376,0.001314882
0.011,-0.0002608773,0.0013244004
0.011,0.000644922,0.00036330026
0.012,0.0006585467,0.00037391594
0.012,0.0013154001,-3.5902416e-05
0.013,0.001272313,-2.602617e-05
0.013,-0.00019725558,0.00096156035
0.014,-8.9917055e-05,0.00097191107
0.014,0.0011191705,0.00036742404
0.015,0.0011075295,0.00037856566
0.015,0.0006098562,0.00075839757
0.016,0.0006535026,0.00076955167
0.016,0.0002772607,-9.852716e-05
0.017,0.00035877342,-8.6222135e-05
0.017,0.0008244039,0.00064807077
0.018,0.00086019415,0.0006613726
0.018,0.0009193,-0.0007088781
0.019,0.00095281604,-0.0006951974
0.019,0.001520341,0.0002232331
0.02,0.0015038259,0.00023662511
0.02,0.0009233529,0.0003277933
0.021,0.0009707553,0.00034109605
0.021,0.0002501249,0.00043974703
0.022,0.00036780874,0.00045461094
0.022,0.00080792786,-0.00017332962
0.023,0.0008786693,-0.00015669607
0.023,0.0023017663,0.00024748498
0.024,0.0022378378,0.0002635767
0.024,0.0005096422,-6.0549482e-05
0.025,0.00062349,-4.4395045e-05
0.025,0.0018335786,0.00011046965
0.026,0.0018282769,0.00012734493
0.026,0.0014423294,0.00025379893
0.027,0.0014816899,0.00027048352
0.027,0.0013875002,7.205046e-05
0.028,0.0014391392,8.9241e-05
0.028,0.00073837506,-0.00019979895
0.029,0.00085834874,-0.00018112162
0.029,0.0009645542,-1.3859501e-05
0.03,0.0010692814,6.887033e-06
0.03,0.0006960269,0.0003667018
0.031,0.00083258527,0.00038965637
0.031,0.00089167035,-9.403348e-06
0.032,0.0010158648,1.5910864e-05
0.032,0.0024039007,0.0002269327
0.033,0.002391577,0.00025266872
0.033,0.001816589,-0.00012288126
0.034,0.0018681105,-9.759726e-05
0.034,0.0013477396,0.00015312333
